state,bill_id,bill_number,title,description,status,status_date,url
OR,2101303,,Relating to immigration.,"The Act directs the DOJ to study immigration enforcement. The Act directs the DOJ to give the results of the study to the legislature. (Flesch Readability Score: 60.7). Requires the Department of Justice to study ways the state may address unlawful immigration enforcement activity. Directs the department to submit findings to the interim committees of the Legislative Assembly related to the judiciary no later than September 15, 2027. Sunsets on January 2, 2028.",6,2026-03-06,https://legiscan.com/OR/bill/HB4001/2026
OR,2101427,,Relating to legislative measures; declaring an emergency.,"The Act limits the number of measure requests that may be made of LC during long regular sessions to stated numbers. The Act sets forth exceptions to those limits. The Act takes effect when signed. (Flesch Readability Score: 76.5). Limits to 25 the number of legislative measures that a member of the Legislative Assembly may ask the Legislative Counsel to prepare for a regular session of the Legislative Assembly that begins in an odd-numbered year. Limits to 15 the number of legislative measures that a committee of the Legislative Assembly may ask the Legislative Counsel to prepare for a regular session of the Legislative Assembly that begins in an odd-numbered year. Provides exceptions. Limits to 200 the combined total number of legislative measures that the Governor and state agencies under the authority of the Governor may ask the Legislative Counsel to prepare for a regular session of the Legislative Assembly that begins in an odd-numbered year. Provides exceptions. Limits to 15 the number of legislative measures that other statewide elected officials and the Judicial Department may each ask the Legislative Counsel to prepare for a regular session of the Legislative Assembly that begins in an odd-numbered year. Authorizes the Senate Rules Committee or the House Rules Committee to ask the Legislative Counsel to prepare additional measures on behalf of requesters. Authorizes the measure's requester to ask the Legislative Counsel to prepare an additional measure when the first legislative chamber passes or adopts a measure. Applies to requests for legislative measures made for the 2027 regular session and subsequent odd-numbered year regular sessions. Declares an emergency, effective on passage.",6,2026-03-06,https://legiscan.com/OR/bill/HB4002/2026
OR,2101076,,Relating to medical assistance; declaring an emergency.,"The Act changes how OHA decides which health services are covered in the state Medicaid program. (Flesch Readability Score: 63.6). Removes provisions relating to the use of the prioritized list of health services in the state medical assistance program. Requires the Oregon Health Authority to establish a definition of medical necessity and medical necessity criteria. Requires the Health Evidence Review Commission to develop and maintain clinical coverage policies that are consistent with the authority's definition of medical necessity and with federal laws governing mandatory and optional medical assistance services. Declares an emergency, effective on passage.",6,2026-03-06,https://legiscan.com/OR/bill/HB4003/2026
OR,2101354,,Relating to natural resources; and prescribing an effective date.,The Act says certain tax is not owed for land that does not qualify for forest special assessment due to pests or disease. The Act says the Water Resources Department may allow time extensions for certain water right holders. The Act changes who must be a registered engineer at the department. The Act says the department must help certain water users sign up for a water conservation program. (Flesch Readability Score: 60.5). Provides that additional taxes otherwise imposed upon disqualification of land from certain forestland special assessment programs may not be collected if the disqualification is due to the suspension of reforestation requirements as a result of insects or disease. Authorizes the Water Resources Department to grant time extensions for specified water right permit holders to complete construction and apply water beneficially. Modifies requirement that the department's director or principal assistant be a registered engineer. Modifies provision specifying when a proposed order of the department becomes final. Directs the department to facilitate certain water users' enrollment in a federal conservation program. Takes effect on the 91st day following adjournment sine die.,3,2026-03-04,https://legiscan.com/OR/bill/HB4004/2026
OR,2101345,,Relating to Water Professionals Appreciation Week; and prescribing an effective date.,Makes a yearly celebration of water workers in this state that takes place in October. (Flesch Readability Score: 61.8). Designates the first Saturday of October of each year through the end of the Sunday of the following weekend as Water Professionals Appreciation Week. Takes effect on the 91st day following adjournment sine die.,4,2026-03-17,https://legiscan.com/OR/bill/HB4005/2026
OR,2101286,,Relating to water rights with points of diversion between river miles 252 and 303 on the Columbia River.,"This Act makes changes to laws as they relate to some Columbia River water rights. (Flesch Readability Score: 67.5). Authorizes holders of certain Columbia River water rights to change the point of diversion or use the water right on land to which the right is not appurtenant, provided certain conditions are met. Exempts certain Columbia River water rights from the application requirements for a change to the use of the water right, provided certain conditions are met. Exempts the irrigation systems of intergovernmental entities, with respect to certain water rights, from the application of certain laws pertaining to irrigation ditches and reservoirs. Authorizes the Mid-Columbia Water Commission to participate in the district water rights mapping process, with respect to certain water rights. Requires the commission to report to the Legislative Assembly on the effects of this Act for a period of 10 years.",6,2026-03-06,https://legiscan.com/OR/bill/HB4006/2026
OR,2101010,,Relating to transportation; and prescribing an effective date.,"The Act defines what a ""powered micromobility device"" is. It also combines the laws for kids under 16, making it clear that they must wear helmets when riding bikes, e-bikes, e-scooters and some other vehicles. Changes age a kid must be to use different classes of e-bikes and other types of vehicles. Says a store may not sell a vehicle that looks like an e-bike if it is not an e-bike by state law. The Act tells ODOT to make a new pilot program and let trucks haul more milk on certain routes. The Act tells ODOT to report on the results of the pilot program. Gives DAS more time to finish review of HCAS. (Flesch Readability Score: 73.1). [Digest: The Act defines what a ""powered micromobility device"" is. It also combines the laws for kids under 16, making it clear that they must wear helmets when riding bikes, e-bikes, e-scooters and some other vehicles. Changes age a kid must be to use different classes of e-bikes and other types of vehicles. Says a store may not sell a vehicle that looks like an e-bike if it is not an e-bike by state law. The Act tells ODOT to make a new pilot program and let trucks haul more milk on certain routes. The Act tells ODOT to report on the results of the pilot program. (Flesch Readability Score: 70.7).] Defines ""powered micromobility device"" for the vehicle code. Consolidates and makes uniform standards for wearing protective headgear for children under 16 years of age when riding or using a bicycle, electric assisted bicycle, motor assisted scooter, powered micromobility device and certain nonmotorized vehicles. Lowers the age requirement to operate a Class 1 electric assisted bicycle. Provides that there is no minimum age requirement to operate a Class 1 or Class 2 electric assisted bicycle if the person is participating in a bicycle safety program. Lowers age requirement to operate motor assisted scooter. Creates offense of improper sale or lease of a vehicle. Punishes by maximum fine of $250. Creates offense of selling an impostor vehicle. Punishes by maximum fine of $250. Directs the Department of Transportation to establish a five-year pilot program that allows vehicles to haul fluid milk products with a loaded weight of not more than 129,000 pounds on routes approved by the department. Directs the department to conduct a study and prepare a report on the results of the pilot program. Extends the time the Oregon Department of Administrative Services has to undertake its review of the methodology for the highway cost allocation study. Makes the report due March 15, 2028. Takes effect on the 91st day following adjournment sine die.",3,2026-03-05,https://legiscan.com/OR/bill/HB4007/2026
OR,2101498,,Relating to a transit funding task force; declaring an emergency.,"The Act makes the Transit Funding Task Force and tells the task force to make a report. (Flesch Readability Score: 100). Establishes the Transit Funding Task Force and directs the task force to report to an interim committee of the Legislative Assembly related to transportation no later than December 1, 2026. Declares an emergency, effective on passage.",6,2026-03-06,https://legiscan.com/OR/bill/HB4008/2026
OR,2101314,,Relating to transportation; prescribing an effective date.,The Act would phase in a mandatory per-mile road usage charge for owners and lessees of electric and hybrid cars and delivery vans engaged in e-commerce. The Act would allow a flat annual fee in lieu of the per-mile road usage charge. The Act would have ODOT biennially recommend a rate for the per-mile road usage charge that would raise the money needed to keep up the highways in this state. The Act would pause an EV rebate and limit another EV rebate to one per household. (Flesch Readability Score: 62.2). Phases in a mandatory per-mile road usage charge for registered owners and lessees of electric and hybrid passenger vehicles and delivery vehicles engaged in e-commerce. Allows an annual flat fee in lieu of the mandatory per-mile road usage charge. Requires the Department of Transportation to submit a biennial report to the Legislative Assembly recommending a rate for the per-mile road usage charge that would sustainably raise the revenue necessary to maintain the public highways in this state. Prohibits the Department of Environmental Quality from providing certain zero-emission and electric vehicle rebates for a period of time. Limits the charge ahead rebate to one per household. Takes effect on the 91st day following adjournment sine die.,6,2026-03-06,https://legiscan.com/OR/bill/HB4009/2026
OR,2101069,,Relating to required payments for changes to the scope of work on construction contracts; prescribing an effective date.,Tells state agencies that want more work on a construction project than the contract calls for to issue a change order for the work by a certain date or to pay interest if the agency does not. Makes contractors do the same for subcontractors and owners do the same in private contracts. (Flesch Readability Score: 61.6). Requires contracting agencies that procure public improvement contracts or contracts for public works and require additional work outside the scope set forth in the public improvement contract or contract for public works to issue change orders for the additional work within a specific time or to pay interest for failing to do so. Requires similar duties from contractors to subcontractors and from owners to contractors in private construction contracts. Takes effect on the 91st day following adjournment sine die.,6,2026-03-06,https://legiscan.com/OR/bill/HB4010/2026
