state,bill_id,bill_number,title,description,status,status_date,url
MD,2070517,,"Investor-Owned Electric, Gas, and Gas and Electric Companies - Cost Recovery - Limitations","Prohibiting a certain public service company from recovering through rates any costs associated with a supervisor's annual compensation once the compensation exceeds 110% of the maximum annual salary payable to the chair of the Commission for the same calendar year; requiring the Public Service Commission to publish guidance defining ""reasonable cost limitations""; requiring each public service company to send a copy of the policy adopted under the Act to the Commission at certain times;  etc.",2,2026-02-06,https://legiscan.com/MD/bill/HB1/2026
MD,2070620,,Subtraction Modification - Public Safety Retirement Income,"Increasing, from $15,000 to $20,000, the amount allowed as a subtraction modification under the Maryland income tax for retirement income attributable to an individual's employment as a public safety employee; and applying the Act to all taxable years beginning after December 31, 2025.",1,2026-01-14,https://legiscan.com/MD/bill/HB2/2026
MD,2070358,,Higher Education - Nonresident Tuition - Exemption for Dependents of State or Local Public Safety Employees (Maryland Fallen Heroes Tuition Benefits Act),Exempting financially dependent children of State or local public safety employees who die as a result of or in the course of performance of duties from paying out-of-state or out-of-county tuition at a public institution of higher education in the State.,2,2026-02-12,https://legiscan.com/MD/bill/HB3/2026
MD,2070689,,Vehicle Laws – Historic Motor Vehicles – Minimum Age,"Requiring that a motor vehicle be at least 25 years old in order to be eligible for registration as a historic motor vehicle; and requiring the Motor Vehicle Administration to reinstate, under certain circumstances, the historic motor vehicle registration of a motor vehicle that had its historic vehicle registration suspended or revoked as a result of the change to the definition of ""historic motor vehicle"" in Chapter 604 of 2025.",1,2026-01-14,https://legiscan.com/MD/bill/HB4/2026
MD,2070703,,Community Development - Maryland New Markets Development Program - Establishment,"Establishing the Maryland New Markets Development Program; requiring the Department of Housing and Community Development to administer the Program; authorizing a credit against the State insurance premium receipts tax and certain State insurance retaliatory taxes, fees, charges, and penalties for certain equity investments in certain community development entities; authorizing the Department to recapture a credit under certain circumstances; limiting the credit amounts that may be issued to $18,750,000 for any taxable year; etc.",1,2026-01-14,https://legiscan.com/MD/bill/HB5/2026
MD,2070309,,Public Institutions of Higher Education - Pregnant and Parenting Students - Plan and Reporting,"Requiring the Maryland Higher Education Commission to collect certain data regarding the parental status of students from each public institution of higher education in the State; requiring all public institutions of higher education to adopt a certain plan for pregnant and parenting students and post the plan on the institution's website by October 1, 2026; and altering the definition of ""student data"" to authorize the Commission to share data related to certain students' parental status with the Maryland Longitudinal Data System.",2,2026-02-26,https://legiscan.com/MD/bill/HB6/2026
MD,2070633,,"State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech-Language Pathologists, and Music Therapists - Authority to Issue Limited Licenses to Practice Music Therapy","Authorizing the State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech-Language Pathologists, and Music Therapists to issue a limited license to practice music therapy; providing the purpose of the limited license is to permit an individual to practice music therapy while completing certain licensing requirements; and allowing a licensee with a limited license to practice music therapy under the supervision of a fully licensed music therapist.",2,2026-02-19,https://legiscan.com/MD/bill/HB7/2026
MD,2070427,,Vehicle Laws - Dangerous Driver Abatement Program - Establishment (Dangerous Driver Accountability Act),Establishing the Dangerous Driver Abatement Program; establishing the purpose of the Program is to reduce motor vehicle-related deaths by requiring repeat offenders to complete a driver accountability and safety course or be subject to sanctions; requiring the Motor Vehicle Administration to administer the Program and provide a certain notice to repeat offenders; requiring a repeat offender to successfully complete a certain course within 90 days after receiving the notice; etc.,1,2026-01-14,https://legiscan.com/MD/bill/HB8/2026
MD,2070237,,3-1-1 Systems - Expansion Program and Oversight Board - Establishment,Establishing the Maryland 3-1-1 Oversight Board in the Maryland Information Network to oversee the expansion of 3-1-1 systems in Maryland; establishing the 3-1-1 Program to use certain artificial intelligence to answer certain questions and route certain calls in certain counties; and requiring the expansion of the 3-1-1 Program to all of the counties in Maryland after a certain time period.,1,2026-01-14,https://legiscan.com/MD/bill/HB9/2026
MD,2070487,,Legal Advertisement or Legal Notice - Publication in Newspaper or Newspaper in General Circulation - Digital Newspapers,"Establishing certain requirements for the print or digital publication of legal advertisements and notices in counties and municipalities in the State; requiring digital publications that publish a legal advertisement or notice to maintain an archive of all published legal advertisements and legal notices that shall be available to the public; and requiring digital publications that publish a legal advertisement or notice to employ at least one employee whose duties include reporting, writing, or editing local news and information.",2,2026-03-12,https://legiscan.com/MD/bill/HB10/2026
MD,2070722,,Anne Arundel County - Sheriff - Appointment of Majors,Requiring the Sheriff of Anne Arundel County to appoint three majors at a salary determined by the County Council of Anne Arundel County.,2,2026-03-21,https://legiscan.com/MD/bill/HB11/2026
MD,2070496,,Juvenile Sex Offender Registry - Qualifying Offenses and Access,Authorizing a local superintendent or the superintendent's designee to access the registry of juvenile sex offenders; and adding certain offenses to the list of offenses for which a person adjudicated delinquent is required to be included in the registry of juvenile sex offenders.,1,2026-01-14,https://legiscan.com/MD/bill/HB12/2026
MD,2070302,,Income Tax - Subtraction Modification - Public Safety Employee Retirement Income (Supporting Our 9-1-1 Specialists Act),"Altering a certain subtraction modification under the Maryland income tax for retirement income attributable to an individual's employment as a public safety employee to include certain retirement income attributable to an individual's employment as a 9-1-1 specialist; and applying the Act to all taxable years beginning after December 31, 2025.",1,2026-01-14,https://legiscan.com/MD/bill/HB13/2026
MD,2070528,,"County Boards of Education - Bullying, Harassment, or Intimidation - Information Collection and Reporting Requirements","Altering the contents of a certain bullying, harassment, or intimidation form to require, if the incident is believed to have been motivated in whole or in substantial part by an actual or perceived personal characteristic including race, national origin, marital status, sex, sexual orientation, gender identity, religion, ancestry, physical attributes, socioeconomic status, familial status, or physical or mental ability or disability, the identification of those personal characteristics, if known; etc.",2,2026-03-21,https://legiscan.com/MD/bill/HB14/2026
MD,2070602,,Public Information Act - Public Records - Nonprofit Organizations,"Altering the definition of a ""public record"" under the Public Information Act to include certain documentary material made by a nonprofit organization that receives $50,000 or more annually from State grants, State bond proceeds, or local impact grants; and altering the applicability of certain rules and limitations under the Public Information Act to include certain nonprofit organizations.",1,2026-01-14,https://legiscan.com/MD/bill/HB15/2026
MD,2070652,,Correctional Services - Maryland Parole Commission - Members and Hearing Examiners,Altering the number of members of the Maryland Parole Commission from 10 to at least 15 but not more than 20 members; altering the appointing authority and method of appointment of parole commissioners; and repealing the authority of the Commission to appoint and utilize hearing examiners.,2,2026-03-23,https://legiscan.com/MD/bill/HB16/2026
MD,2070740,,Estates and Trusts - Venue for Administrative and Judicial Probate and Application of Inheritance Tax,"Altering certain criteria for determining the venue for administrative or judicial probate of decedents who were not domiciled in the State; providing that, for purposes of the application of the Maryland inheritance tax, the situs of intangible personal property is the domicile of the decedent; repealing a certain exemption from the Maryland inheritance tax for personal property that passes from a nonresident decedent; etc.",2,2026-02-26,https://legiscan.com/MD/bill/HB17/2026
MD,2070746,,Transportation Network Companies - Transportation Network Operators - Minimum Payments for Passenger Trips,"Requiring a transportation network company to pay operators, after July 1, 2026, and for any passenger trip originating in the State,  $1.66 per mile and $0.40 per minute, an additional $1.18 per mile for an operator using a wheelchair accessible vehicle, at least $5.00 for any passenger trip, and at least 80% of any cancellation fee charged by a transportation network company; and adjusting the minimum amount paid per mile and per minute by inflation each year.",1,2026-01-14,https://legiscan.com/MD/bill/HB18/2026
MD,2070274,,Higher Education - Maryland Public Service Loan Forgiveness Program - Establishment,"Establishing the Maryland Public Service Loan Forgiveness Program to assist in the repayment of higher education loans owed by State employees in order to attract, recruit, and retain these employees; requiring the Office of Student Financial Assistance within the Maryland Higher Education Commission to administer the Program; and requiring the Office to report to the General Assembly on or before January 1 of each year on the implementation of the Program and any effects the Program has on State employee recruitment or retention.",1,2026-01-14,https://legiscan.com/MD/bill/HB19/2026
MD,2070730,,Baltimore City - Alcoholic Beverages - Related Event Promoter's Permit,Reestablishing a related event promoter's permit in Baltimore City; authorizing the Board of License Commissioners for Baltimore City to issue a related event promoter's permit to certain applicants under certain circumstances; and requiring a holder of a State caterer's license to obtain a certain Class C per diem license from the Board before the holder may act as a participating license holder at a related event.,2,2026-02-12,https://legiscan.com/MD/bill/HB20/2026
