state,bill_id,bill_number,title,description,status,status_date,url
IA,1917286,,"A bill for an act relating to the eligibility of students enrolled in nonpublic schools to compete in extracurricular interscholastic athletic contests or competitions provided by public schools, and including effective date provisions.(See HF 189.)","A bill for an act relating to the eligibility of students enrolled in nonpublic schools to compete in extracurricular interscholastic athletic contests or competitions provided by public schools, and including effective date provisions.(See HF 189.)",1,2025-01-14,https://legiscan.com/IA/bill/HF1/2025
IA,1917571,,A bill for an act relating to the qualifications of a county medical examiner.(See HF 305.),A bill for an act relating to the qualifications of a county medical examiner.(See HF 305.),1,2025-01-14,https://legiscan.com/IA/bill/HF2/2025
IA,1917017,,"A bill for an act relating to the collection of fines issued for excessive speed violations detected by an automated or remote system for traffic law enforcement, and including applicability provisions.(See HF 764.)","A bill for an act relating to the collection of fines issued for excessive speed violations detected by an automated or remote system for traffic law enforcement, and including applicability provisions.(See HF 764.)",1,2025-01-14,https://legiscan.com/IA/bill/HF3/2025
IA,1917267,,"A bill for an act relating to health benefit plans, claims for reimbursement, and explanation of benefits.","A bill for an act relating to health benefit plans, claims for reimbursement, and explanation of benefits.",1,2025-01-14,https://legiscan.com/IA/bill/HF4/2025
IA,1917448,,A bill for an act relating to insurance coverage for covered individuals for the treatment of autism spectrum disorder and including applicability provisions.(See HF 330.),A bill for an act relating to insurance coverage for covered individuals for the treatment of autism spectrum disorder and including applicability provisions.(See HF 330.),1,2025-01-14,https://legiscan.com/IA/bill/HF5/2025
IA,1917109,,"A bill for an act relating to the minimum amounts required for motor vehicle financial responsibility, and making penalties applicable.","A bill for an act relating to the minimum amounts required for motor vehicle financial responsibility, and making penalties applicable.",1,2025-01-14,https://legiscan.com/IA/bill/HF6/2025
IA,1917320,,"A bill for an act providing for the regulation of delivery network companies and drivers, making penalties applicable, and including effective date provisions.(See HF 545.)","A bill for an act providing for the regulation of delivery network companies and drivers, making penalties applicable, and including effective date provisions.(See HF 545.)",1,2025-01-14,https://legiscan.com/IA/bill/HF7/2025
IA,1917559,,A bill for an act relating to student access to broad-spectrum cannabidiol products from school nurses during the school day.,A bill for an act relating to student access to broad-spectrum cannabidiol products from school nurses during the school day.,1,2025-01-14,https://legiscan.com/IA/bill/HF8/2025
IA,1917398,,A bill for an act establishing the school security personnel grant program within the department of education and making appropriations.,A bill for an act establishing the school security personnel grant program within the department of education and making appropriations.,1,2025-01-14,https://legiscan.com/IA/bill/HF9/2025
IA,1917213,,"A bill for an act relating to the attachment of the territory of a school district that is subject to an approved dissolution proposal, and including applicability provisions.(See HF 174.)","A bill for an act relating to the attachment of the territory of a school district that is subject to an approved dissolution proposal, and including applicability provisions.(See HF 174.)",1,2025-01-14,https://legiscan.com/IA/bill/HF10/2025
IA,1917306,,A bill for an act modifying the earliest possible start date of the school calendar for school districts and accredited nonpublic schools.,A bill for an act modifying the earliest possible start date of the school calendar for school districts and accredited nonpublic schools.,1,2025-01-14,https://legiscan.com/IA/bill/HF11/2025
IA,1917428,,A bill for an act relating to medical residency positions and audition clinicals for medical students and medical residency position applicants meeting certain criteria.(See HF 379.),A bill for an act relating to medical residency positions and audition clinicals for medical students and medical residency position applicants meeting certain criteria.(See HF 379.),1,2025-01-14,https://legiscan.com/IA/bill/HF12/2025
IA,1917538,,A bill for an act relating to annual automatic increases in Medicaid provider reimbursement rates.,A bill for an act relating to annual automatic increases in Medicaid provider reimbursement rates.,1,2025-01-14,https://legiscan.com/IA/bill/HF13/2025
IA,1917199,,A bill for an act relating to the controlled substance crystalline polymorph psilocybin.(See HF 383.),A bill for an act relating to the controlled substance crystalline polymorph psilocybin.(See HF 383.),1,2025-01-14,https://legiscan.com/IA/bill/HF14/2025
IA,1917140,,"A bill for an act creating a rural attorney recruitment assistance program, and making appropriations.(See HF 209, HF 1001.)","A bill for an act creating a rural attorney recruitment assistance program, and making appropriations.(See HF 209, HF 1001.)",1,2025-01-14,https://legiscan.com/IA/bill/HF15/2025
IA,1917157,,A bill for an act relating to indigent defense and the appointment of counsel by the court.,A bill for an act relating to indigent defense and the appointment of counsel by the court.,1,2025-01-14,https://legiscan.com/IA/bill/HF16/2025
IA,1917031,,A bill for an act relating to surgical castration for certain sex offenses.,A bill for an act relating to surgical castration for certain sex offenses.,1,2025-01-14,https://legiscan.com/IA/bill/HF17/2025
IA,1917080,,A bill for an act establishing a diminished salary offset for unemployment benefits.,A bill for an act establishing a diminished salary offset for unemployment benefits.,1,2025-01-14,https://legiscan.com/IA/bill/HF18/2025
IA,1917414,,"A bill for an act modifying the costs eligible for emergency medical services fund expenditures, and including effective date provisions.(See HF 307.)","A bill for an act modifying the costs eligible for emergency medical services fund expenditures, and including effective date provisions.(See HF 307.)",1,2025-01-14,https://legiscan.com/IA/bill/HF19/2025
IA,1917505,,A bill for an act designating the acquisition of certain vehicles or vehicle equipment as a general county purpose.(See HF 380.),A bill for an act designating the acquisition of certain vehicles or vehicle equipment as a general county purpose.(See HF 380.),1,2025-01-14,https://legiscan.com/IA/bill/HF20/2025
IA,1917622,,"A bill for an act relating to fishing privileges of disabled veterans, and making penalties applicable.(See HF 387.)","A bill for an act relating to fishing privileges of disabled veterans, and making penalties applicable.(See HF 387.)",1,2025-01-14,https://legiscan.com/IA/bill/HF21/2025
IA,1917521,,A bill for an act relating to the allocation of nonresident deer hunting licenses and including effective date provisions.(See HF 388.),A bill for an act relating to the allocation of nonresident deer hunting licenses and including effective date provisions.(See HF 388.),1,2025-01-14,https://legiscan.com/IA/bill/HF22/2025
IA,1917360,,"A bill for an act relating to discharging firearms on public roadways, and making penalties applicable.","A bill for an act relating to discharging firearms on public roadways, and making penalties applicable.",1,2025-01-14,https://legiscan.com/IA/bill/HF23/2025
IA,1917467,,"A bill for an act relating to public contact with dangerous wild animals, and making penalties applicable.","A bill for an act relating to public contact with dangerous wild animals, and making penalties applicable.",1,2025-01-14,https://legiscan.com/IA/bill/HF24/2025
IA,1917235,,"A bill for an act relating to the commission of a criminal offense while wearing a mask, clothing, or device to conceal the identity of the wearer, and providing penalties.","A bill for an act relating to the commission of a criminal offense while wearing a mask, clothing, or device to conceal the identity of the wearer, and providing penalties.",1,2025-01-14,https://legiscan.com/IA/bill/HF25/2025
IA,1917378,,A bill for an act relating to the treatment of adoptive parent employees and making penalties applicable.(See HF 248.),A bill for an act relating to the treatment of adoptive parent employees and making penalties applicable.(See HF 248.),1,2025-01-14,https://legiscan.com/IA/bill/HF26/2025
IA,1917095,,"A bill for an act relating to the deduction of the purchase amount of nonathletic school uniforms for purposes of the individual income tax, and including retroactive applicability provisions.","A bill for an act relating to the deduction of the purchase amount of nonathletic school uniforms for purposes of the individual income tax, and including retroactive applicability provisions.",1,2025-01-14,https://legiscan.com/IA/bill/HF27/2025
IA,1917250,,A bill for an act relating to the creation of land redevelopment trusts.(See HF 1008.),A bill for an act relating to the creation of land redevelopment trusts.(See HF 1008.),1,2025-01-14,https://legiscan.com/IA/bill/HF28/2025
