state,bill_id,bill_number,title,description,status,status_date,url
RI,2126281,,Requires insurance companies to prove that a healthcare service or procedure is not medically necessary.,INSURANCE -- BENEFIT DETERMINATION AND UTILIZATION REVIEW ACT - Requires insurance companies to prove that a healthcare service or procedure is not medically necessary.,1,2026-02-27,https://legiscan.com/RI/bill/H4942/2026
RI,2066932,,"Prohibits healthcare providers and health plans from denying the payment of a medical bill, solely because the bill may have arisen from a third-party claim.","BUSINESSES AND PROFESSIONS -- BOARD OF MEDICAL LICENSURE AND DISCIPLINE - Prohibits healthcare providers and health plans from denying the payment of a medical bill, solely because the bill may have arisen from a third-party claim.",2,2026-03-17,https://legiscan.com/RI/bill/H7002/2026
RI,2067172,,Directs the state department of education to establish an anti-hazing policy in student athletics.,EDUCATION -- HEALTH AND SAFETY OF PUPILS - Directs the state department of education to establish an anti-hazing policy in student athletics.,1,2026-01-07,https://legiscan.com/RI/bill/H7003/2026
RI,2067231,,Creates the Rhode Island Climate Superfund Act of 2026.,STATE AFFAIRS AND GOVERNMENT -- RHODE ISLAND CLIMATE SUPERFUND ACT OF 2026 - Creates the Rhode Island Climate Superfund Act of 2026.,1,2026-01-07,https://legiscan.com/RI/bill/H7004/2026
RI,2067417,,Authorizes the town of Barrington to provide a tax dollar credit reduction for legally blind persons by ordinance.,TAXATION -- PROPERTY SUBJECT TO TAXATION - Authorizes the town of Barrington to provide a tax dollar credit reduction for legally blind persons by ordinance.,2,2026-02-03,https://legiscan.com/RI/bill/H7005/2026
RI,2067476,,"Expands the definition of “book or other writing” to sales up to one thousand five hundred (1,500) copies and deny the sales tax exemption for third-party sales.","TAXATION -- SALES AND USE TAXES -- LIABILITY AND COMPUTATION - Expands the definition of “book or other writing” to sales up to one thousand five hundred (1,500) copies and deny the sales tax exemption for third-party sales.",1,2026-01-07,https://legiscan.com/RI/bill/H7006/2026
RI,2066992,,Entitles disabled and military voters to utilize electronically transmitted ballots.,ELECTIONS -- MAIL BALLOTS - Entitles disabled and military voters to utilize electronically transmitted ballots.,1,2026-01-07,https://legiscan.com/RI/bill/H7007/2026
RI,2066870,,Includes the governor's commission on disabilities in the decision making process for the disability parking enforcement enhancement program and requires an annual report be submitted to the governor's commission.,MOTOR AND OTHER VEHICLES -- PARKING FACILITIES AND PRIVILEGES - Includes the governor's commission on disabilities in the decision making process for the disability parking enforcement enhancement program and requires an annual report be submitted to the governor's commission.,1,2026-01-07,https://legiscan.com/RI/bill/H7008/2026
RI,2067293,,Provides that licensed independent clinical social workers be able to enroll and bill Medicaid directly for covered services provided to adults with Medicaid fee-for-service coverage.,HUMAN SERVICES -- MEDICAL ASSISTANCE - Provides that licensed independent clinical social workers be able to enroll and bill Medicaid directly for covered services provided to adults with Medicaid fee-for-service coverage.,1,2026-01-07,https://legiscan.com/RI/bill/H7010/2026
RI,2069572,,"Authorizes veterinarians to establish a client-patient relationship through electronic means, subject to limitations and requirements such as Vet making a good faith effort to determine if care should be provided through telemedicine instead of in person.","BUSINESSES AND PROFESSIONS -- VETERINARY PRACTICE - Authorizes veterinarians to establish a client-patient relationship through electronic means, subject to limitations and requirements such as Vet making a good faith effort to determine if care should be provided through telemedicine instead of in person.",1,2026-01-09,https://legiscan.com/RI/bill/H7020/2026
